Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,320000,2 bedroom ground floor flat for sale,"West Street Lane, Carshalton, Surrey, SM5",http://www.rightmove.co.uk/properties/131202923#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kenyons-Estate-Agents/Carshalton-8348.html,SM5,,2.0,2023-06-26 09:49:05.590377,Ground Flat,2.0,1.0,68.0,"West Street Lane, Carshalton",51.3668035,-0.1650907
3,3000000,5 bedroom detached house for sale,"Parker Close, Carshalton Beeches, Carshalton, SM5",http://www.rightmove.co.uk/properties/135636362#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Sutton-149150.html,SM5,,5.0,2023-06-26 09:49:05.590377,Detached,5.0,5.0,592.0,"Parker Close, Carshalton Beeches",51.3590569,-0.166768
10,2000000,6 bedroom detached house for sale,"Higher Drive, Banstead",http://www.rightmove.co.uk/properties/134770079#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Personal-Agent/Banstead-149105.html,,,6.0,2023-06-26 09:49:05.590377,Detached,6.0,4.0,368.0,"Higher Drive, Banstead",51.329637,-0.2152943
18,1500000,6 bedroom detached house for sale,"Arundel Road, Cheam",http://www.rightmove.co.uk/properties/135610232#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Bailey-Sales-and-Lettings/Sutton-237941.html,,,6.0,2023-06-26 09:49:05.590377,Detached,6.0,3.0,325.0,"Arundel Road, Cheam",51.3536769,-0.2104361
33,1200000,6 bedroom detached house for sale,"Park Hill, Carshalton",http://www.rightmove.co.uk/properties/136223951#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Turners/Morden-16319.html,,,6.0,2023-06-26 09:49:05.590377,Detached,6.0,2.0,370.0,"Park Hill, Carshalton",51.3602979,-0.1695468
34,1200000,7 bedroom detached house for sale,Period property with development potential for Sale in Carshalton,http://www.rightmove.co.uk/properties/135523205#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Heaven-Estate-Agents/London-225752.html,,,7.0,2023-06-26 09:49:05.590377,Detached,7.0,2.0,208.0,Period property with development potential for Sale in Carshalton,,
38,1150000,4 bedroom house for sale,"Cecil Road, Cheam",http://www.rightmove.co.uk/properties/134576249#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Bailey-Sales-and-Lettings/Sutton-237941.html,,,4.0,2023-06-26 09:49:05.590377,House,4.0,2.0,217.0,"Cecil Road, Cheam",51.3585907,-0.2095072
42,1100000,4 bedroom detached house for sale,"Gilhams Avenue, Banstead",http://www.rightmove.co.uk/properties/134444555#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Personal-Agent/Banstead-149105.html,,,4.0,2023-06-26 09:49:05.590377,Detached,4.0,3.0,186.0,"Gilhams Avenue, Banstead",51.3334637,-0.2182379
50,610000,3 bedroom semi-detached house for sale,"Kings Road, Sutton, Surrey, SM2",http://www.rightmove.co.uk/properties/136039001#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ann-Charles-Property-Services/Belmont-75367.html,SM2,,3.0,2023-06-26 09:49:05.590377,Semi-Detached,3.0,2.0,106.0,"Kings Road, Sutton",52.5495544,-1.8666217
58,1000000,3 bedroom detached house for sale,"HIGH VIEW, CHEAM",http://www.rightmove.co.uk/properties/134721434#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/VandH-Homes-Sales-and-Lettings-Specialists/Ashtead-63312.html,,,3.0,2023-06-26 09:49:05.590377,Detached,3.0,1.0,143.0,"HIGH VIEW, CHEAM",,
